iter	RMSE
0	0.8142590957
1	0.8142199811
2	0.8141906768
3	0.8141524882
4	0.81411595
5	0.8140800015
6	0.814046501
7	0.8140186438
8	0.8139933833
9	0.8139724436
10	0.8139444878
11	0.8139103775
12	0.8138921712
13	0.813857275
14	0.8138380388
15	0.8138093121
16	0.8137769383
17	0.8137562992
18	0.8137271128
19	0.8137037457
20	0.8136865433
21	0.8136652051
22	0.8136301879
23	0.8135804476
24	0.8135498397
25	0.8135321695
26	0.8135048524
27	0.8134806197
28	0.8134543188
29	0.813417754
30	0.8133945777
31	0.8133667438
32	0.8133367466
33	0.8133042138
34	0.8132755471
35	0.8132509212
36	0.8132094093
37	0.8131773831
38	0.8131576976
39	0.8131322169
40	0.8130973272
41	0.8130718687
42	0.8130373967
43	0.8130124337
44	0.8129918002
45	0.8129583881
46	0.8129263525
47	0.8129022197
48	0.8128732592
49	0.8128456799
50	0.8128129247
51	0.8127799904
52	0.8127583083
53	0.8127315056
54	0.8126977629
55	0.8126720225
56	0.8126468138
57	0.8126243845
58	0.8125990575
59	0.8125672144
60	0.8125467502
61	0.8125174197
62	0.8124921103
63	0.8124680622
64	0.8124418671
65	0.8124205143
66	0.8123955927
67	0.8123621991
68	0.8123389524
69	0.8123082961
70	0.8122775036
71	0.8122449805
72	0.8122219136
73	0.8121969356
74	0.8121745393
75	0.8121545415
76	0.8121300361
77	0.812101254
78	0.8120669399
79	0.8120395253
80	0.8120170082
81	0.8119994588
82	0.8119671057
83	0.811939278
84	0.8119112019
85	0.8118826641
86	0.8118617812
87	0.8118370225
88	0.8118153908
89	0.8117944955
90	0.811762051
91	0.811732429
92	0.8117027686
93	0.8116903423
94	0.8116696815
95	0.8116465259
96	0.8116165246
97	0.811596856
98	0.8115643785
99	0.8115384229
100	0.8115069689
101	0.8114757494
102	0.8114501376
103	0.811421131
104	0.8113934669
105	0.8113609442
106	0.8113284638
107	0.8113027348
108	0.81127652
109	0.8112446939
110	0.8112297143
111	0.8112051389
112	0.8111754335
113	0.811145743
114	0.8111180215
115	0.8110822338
116	0.8110549032
117	0.811024302
118	0.8109923212
119	0.8109644055
120	0.8109303018
121	0.8109060522
122	0.8108686973
123	0.8108459605
124	0.8108184305
125	0.8107890686
126	0.8107645051
127	0.8107405342
128	0.8107134582
129	0.8106812509
130	0.810646759
131	0.8106185965
132	0.8105857984
133	0.8105576947
134	0.8105268784
135	0.810496725
136	0.8104602564
137	0.8104312466
138	0.8104041153
139	0.8103634782
140	0.8103329354
141	0.8103047693
142	0.8102664016
143	0.8102392128
144	0.8102083942
145	0.8101801841
146	0.8101489735
147	0.810123649
148	0.810094834
149	0.8100558018
150	0.8100242531
151	0.8099889826
152	0.8099547427
153	0.8099212445
154	0.8098861721
155	0.8098521575
156	0.8098210754
157	0.8097952919
158	0.8097543619
159	0.8097167834
160	0.8096862086
161	0.8096491412
162	0.8096179218
163	0.8095907473
164	0.8095619536
165	0.8095283061
166	0.8094962183
167	0.8094664834
168	0.8094402909
169	0.8094159146
170	0.8093821152
171	0.8093510649
172	0.8093226739
173	0.8092925844
174	0.8092552486
175	0.8092216213
176	0.809196728
177	0.8091692001
178	0.8091365991
179	0.8091002332
180	0.8090727847
181	0.809040618
182	0.8090088426
183	0.8089699566
184	0.8089467175
185	0.8089184333
186	0.8088912133
187	0.8088685012
188	0.8088427403
189	0.808809718
190	0.8087830301
191	0.8087497462
192	0.8087172714
193	0.8086963071
194	0.8086782153
195	0.8086413145
196	0.8086031805
197	0.8085693534
198	0.8085393298
199	0.8085112333
200	0.8084794901
201	0.8084481739
202	0.8084185586
203	0.8083934427
204	0.8083639127
205	0.8083356438
206	0.808310652
207	0.8082733759
208	0.8082342969
209	0.8082008676
210	0.8081728053
211	0.8081419026
212	0.8081129465
213	0.808086487
214	0.8080576903
215	0.808026358
216	0.8080040889
217	0.8079717376
218	0.8079442945
219	0.8079052696
220	0.807872351
221	0.8078375838
222	0.8078005478
223	0.8077772858
224	0.8077399076
225	0.8077077224
226	0.8076646591
227	0.807633239
228	0.8076013194
229	0.807573915
230	0.8075430248
231	0.8075053843
232	0.8074685942
233	0.8074357539
234	0.8074056143
235	0.8073783098
236	0.8073491756
237	0.8073263205
238	0.8072912628
239	0.807253551
240	0.8072194198
241	0.8071879793
242	0.8071595736
243	0.807130603
244	0.8070909652
245	0.8070590832
246	0.8070375738
247	0.8070095376
248	0.8069729626
249	0.8069468981
250	0.8069098091
251	0.8068878942
252	0.8068559111
253	0.8068292974
254	0.8067973067
255	0.8067677552
256	0.8067263505
257	0.8066898413
258	0.806661643
259	0.8066331024
260	0.8065921895
261	0.8065699633
262	0.8065347135
263	0.8065027685
264	0.8064639932
265	0.8064385828
266	0.8063986062
267	0.8063735484
268	0.8063416171
269	0.8063157977
270	0.8062914821
271	0.8062599505
272	0.8062265968
273	0.8061945582
274	0.8061617404
275	0.806132335
276	0.8061041196
277	0.8060835019
278	0.806048498
279	0.8060125761
280	0.8059751057
281	0.805947522
282	0.8059160162
283	0.8058834136
284	0.805856523
285	0.8058256896
286	0.8058042445
287	0.80578551
288	0.8057575397
289	0.8057297361
290	0.8056973307
291	0.8056508293
292	0.805630905
293	0.8056000017
294	0.8055622849
295	0.8055250077
296	0.8054970049
297	0.8054666224
298	0.805441686
299	0.8054147212
300	0.805382943
301	0.8053421531
302	0.8053100479
303	0.8052837391
304	0.8052541085
305	0.8052173147
306	0.8051855569
307	0.8051581559
308	0.8051295334
309	0.8051062105
310	0.8050779386
311	0.8050440778
312	0.8050014704
313	0.8049671299
314	0.8049390526
315	0.8049154606
316	0.8048847504
317	0.8048615022
318	0.804826893
319	0.8047942659
320	0.8047648988
321	0.8047434826
322	0.804705358
323	0.804675824
324	0.8046451724
325	0.8046137755
326	0.8045875861
327	0.8045551316
328	0.8045359394
329	0.8045093553
330	0.8044876814
331	0.8044582954
332	0.8044301067
333	0.8043962025
334	0.8043618084
335	0.8043366448
336	0.804301797
337	0.8042651669
338	0.8042345337
339	0.8042081562
340	0.8041775137
341	0.8041522463
342	0.8041252388
343	0.8040911106
344	0.8040659736
345	0.8040433035
346	0.8040082231
347	0.8039739519
348	0.8039327858
349	0.8039019991
350	0.8038679858
351	0.8038397702
352	0.803804916
353	0.803780066
354	0.8037574414
355	0.8037287394
356	0.8037085454
357	0.8036772076
358	0.8036554314
359	0.8036341137
360	0.803602698
361	0.803573725
362	0.8035374257
363	0.8035006803
364	0.8034674099
365	0.8034400606
366	0.8034149688
367	0.8033892364
368	0.8033588183
369	0.803322232
370	0.8032980582
371	0.803263225
372	0.803225686
373	0.8031907795
374	0.8031694139
375	0.8031422882
376	0.8031089302
377	0.8030762397
378	0.8030543181
379	0.8030369545
380	0.8030087883
381	0.8029841575
382	0.8029476898
383	0.8029199073
384	0.8028869761
385	0.8028560459
386	0.8028205257
387	0.8028032178
388	0.8027685552
389	0.8027319722
390	0.8027077021
391	0.8026748845
392	0.80265292
393	0.8026280667
394	0.8026090506
395	0.8025830537
396	0.8025551173
397	0.8025301222
398	0.8024995702
399	0.8024738523
400	0.8024489584
401	0.8024232493
402	0.8024004495
403	0.8023687061
404	0.8023499782
405	0.8023205253
406	0.8022961117
407	0.8022717516
408	0.8022371203
409	0.8022070009
410	0.8021767114
411	0.8021406436
412	0.8021088745
413	0.8020820674
414	0.8020538074
415	0.8020263874
416	0.8020003962
417	0.8019777087
418	0.8019525324
419	0.8019172728
420	0.8018879017
421	0.80187261
422	0.8018357605
423	0.8018033873
424	0.8017778868
425	0.8017420077
426	0.8017057398
427	0.8016759106
428	0.801657963
429	0.8016297687
430	0.8015932567
431	0.8015596791
432	0.8015359702
433	0.8015018462
434	0.8014758493
435	0.8014435973
436	0.8014116755
437	0.8013845922
438	0.8013543563
439	0.801330476
440	0.8013058071
441	0.8012809593
442	0.8012524799
443	0.8012187357
444	0.8011873993
445	0.801152468
446	0.8011238882
447	0.8010950778
448	0.8010778329
449	0.80104518
450	0.8010122168
451	0.8009819438
452	0.8009569073
453	0.8009312618
454	0.8009125767
455	0.8008847471
456	0.8008478002
457	0.8008199387
458	0.8007995001
459	0.8007672391
460	0.800734351
461	0.8007103918
462	0.8006789052
463	0.8006523378
464	0.8006304272
465	0.800593127
466	0.8005686152
467	0.8005423368
468	0.8005146526
469	0.8004910039
470	0.8004563883
471	0.8004289491
472	0.8003976476
473	0.8003654535
474	0.800334843
475	0.800308985
476	0.8002831713
477	0.8002484995
478	0.8002292811
479	0.8002016047
480	0.8001784994
481	0.8001393792
482	0.8001132887
483	0.8000916909
484	0.8000739221
485	0.8000491766
486	0.8000268705
487	0.8000027197
488	0.7999729069
489	0.7999441075
490	0.7999182352
491	0.7998867213
492	0.7998519392
493	0.7998288613
494	0.7998090013
495	0.7997809488
496	0.7997543784
497	0.7997339271
498	0.7997059631
499	0.7996761715
500	0.7996493196
501	0.7996171277
502	0.7995889507
503	0.7995635834
504	0.7995362891
