iter	Passed	Remaining
0	68	68559
1	79	39446
2	115	38231
3	127	31779
4	138	27604
5	180	29980
6	192	27268
7	202	25136
8	257	28393
9	273	27094
10	327	29442
11	340	28026
12	349	26514
13	361	25430
14	392	25773
15	405	24908
16	416	24099
17	428	23398
18	437	22609
19	445	21840
20	455	21222
21	462	20581
22	495	21046
23	509	20719
24	518	20234
25	527	19765
26	573	20651
27	584	20302
28	593	19873
29	602	19486
30	613	19191
31	646	19565
32	659	19325
33	669	19032
34	700	19309
35	712	19083
36	722	18807
37	756	19147
38	768	18927
39	779	18710
40	788	18438
41	810	18475
42	822	18302
43	832	18089
44	842	17887
45	852	17674
46	860	17445
47	894	17736
48	908	17634
49	919	17478
50	944	17573
51	980	17876
52	1013	18112
53	1023	17931
54	1033	17759
55	1072	18079
56	1084	17942
57	1128	18334
58	1167	18619
59	1198	18774
60	1226	18876
61	1247	18875
62	1262	18776
63	1274	18641
64	1286	18512
65	1295	18332
66	1305	18177
67	1314	18010
68	1347	18178
69	1359	18067
70	1371	17942
71	1382	17815
72	1458	18522
73	1482	18553
74	1494	18433
75	1552	18881
76	1592	19086
77	1605	18979
78	1631	19016
79	1652	19004
80	1674	18993
81	1698	19016
82	1708	18872
83	1743	19014
84	1779	19156
85	1818	19325
86	1829	19203
87	1839	19062
88	1851	18950
89	1885	19065
90	1894	18926
91	1905	18808
92	1914	18670
93	1923	18542
94	1955	18628
95	1965	18509
96	1978	18415
97	1992	18342
98	2003	18233
99	2015	18136
100	2069	18418
101	2083	18341
102	2095	18245
103	2107	18156
104	2134	18191
105	2211	18653
106	2235	18653
107	2282	18855
108	2301	18816
109	2313	18717
110	2366	18953
111	2378	18856
112	2389	18754
113	2397	18633
114	2436	18753
115	2449	18666
116	2459	18559
117	2469	18462
118	2522	18675
119	2533	18579
120	2542	18469
121	2554	18386
122	2566	18300
123	2598	18355
124	2630	18415
125	2643	18338
126	2651	18229
127	2662	18138
128	2675	18062
129	2699	18068
130	2746	18220
131	2759	18143
132	2767	18040
133	2779	17963
134	2813	18027
135	2827	17963
136	2853	17975
137	2866	17903
138	2899	17960
139	2959	18177
140	3028	18448
141	3043	18391
142	3100	18582
143	3127	18592
144	3142	18529
145	3199	18716
146	3211	18635
147	3219	18533
148	3238	18494
149	3265	18504
150	3282	18457
151	3291	18362
152	3302	18282
153	3312	18199
154	3342	18219
155	3363	18198
156	3375	18125
157	3385	18042
158	3416	18071
159	3427	17993
160	3436	17909
161	3459	17892
162	3470	17823
163	3479	17734
164	3487	17650
165	3496	17564
166	3504	17478
167	3536	17514
168	3560	17508
169	3584	17499
170	3634	17620
171	3647	17559
172	3663	17511
173	3707	17598
174	3719	17536
175	3745	17533
176	3757	17471
177	3767	17397
178	3790	17387
179	3835	17471
180	3845	17402
181	3855	17327
182	3868	17271
183	3886	17237
184	3904	17200
185	3928	17191
186	3953	17188
187	3977	17177
188	3991	17127
189	4027	17171
190	4040	17115
191	4052	17054
192	4063	16990
193	4077	16941
194	4089	16882
195	4098	16813
196	4110	16754
197	4122	16697
